# Dow Jones
# Vir: finance.yahoo.com, pridobljeno 26. 5. 2016
Date             Open            High            Low             Close             Volume
5/26/2016        17859.52        17888.66        17803.82        17828.29        68937576
5/25/2016        17735.09        17891.71        17735.09        17851.51        79180000
5/24/2016        17525.19        17742.59        17525.19        17706.05        86480000
5/23/2016        17507.04        17550.70        17480.05        17492.93        87790000
5/20/2016        17437.32        17571.75        17437.32        17500.94       111990000
5/19/2016        17514.16        17514.16        17331.07        17435.40        95530000
5/18/2016        17501.28        17636.22        17418.21        17526.62        79120000
5/17/2016        17701.46        17701.46        17469.92        17529.98       103260000
5/16/2016        17531.76        17755.80        17531.76        17710.71        88440000
5/13/2016        17711.12        17734.74        17512.48        17535.32        86640000
5/12/2016        17711.12        17798.19        17625.38        17720.50        88560000
5/11/2016        17919.03        17919.03        17711.05        17711.12        87390000
5/10/2016        17726.66        17934.61        17726.66        17928.35        75790000
5/9/2016         17743.85        17783.16        17668.38        17705.91        85590000
5/6/2016         17650.30        17744.54        17580.38        17740.63        80020000
5/5/2016         17664.48        17736.11        17615.82        17660.71        81530000
5/4/2016         17735.02        17738.06        17609.01        17651.26        95020000
5/3/2016         17870.75        17870.75        17670.88        17750.91        97060000
5/2/2016         17783.78        17912.35        17773.71        17891.16        80100000
4/29/2016        17813.09        17814.83        17651.98        17773.64       136670000
4/28/2016        18023.88        18035.73        17796.55        17830.76       100920000
4/27/2016        17996.14        18084.66        17920.26        18041.55       109090000
4/26/2016        17987.38        18043.77        17934.17        17990.32        92570000
4/25/2016        17990.94        17990.94        17855.55        17977.24        83770000
4/22/2016        17985.05        18026.85        17909.89        18003.75       134120000
4/21/2016        18092.84        18107.29        17963.89        17982.52       102720000
4/20/2016        18059.49        18167.63        18031.21        18096.27       100210000
4/19/2016        18012.10        18103.46        17984.43        18053.60        89820000
4/18/2016        17890.20        18009.53        17848.22        18004.16        89390000
4/15/2016        17925.95        17937.65        17867.41        17897.46       118160000
4/14/2016        17912.25        17962.14        17885.44        17926.43        84510000
4/13/2016        17741.66        17918.35        17741.66        17908.28        91710000
4/12/2016        17571.34        17744.43        17553.57        17721.25        81020000
4/11/2016        17586.48        17731.63        17555.90        17556.41       107100000
4/8/2016         17555.39        17694.51        17528.16        17576.96        79990000
4/7/2016         17687.28        17687.28        17484.23        17541.96        90120000
4/6/2016         17605.45        17723.55        17542.54        17716.05        99410000
4/5/2016         17718.03        17718.03        17579.56        17603.32       115230000
4/4/2016         17799.39        17806.38        17710.67        17737.00        85230000
4/1/2016         17661.74        17811.48        17568.02        17792.75       104890000
3/31/2016        17716.05        17755.70        17669.72        17685.09       102600000
3/30/2016        17652.36        17790.11        17652.36        17716.66        79330000
3/29/2016        17512.58        17642.81        17434.27        17633.11        86160000
3/28/2016        17526.08        17583.81        17493.03        17535.39        70460000
3/24/2016        17485.33        17517.14        17399.01        17515.73        84100000
3/23/2016        17588.81        17588.81        17486.27        17502.59        84240000
3/22/2016        17602.71        17648.94        17540.42        17582.57        95450000
3/21/2016        17589.70        17644.97        17551.28        17623.87        84410000
3/18/2016        17481.49        17620.58        17481.49        17602.30       321230000
3/17/2016        17321.38        17529.01        17297.65        17481.49       117990000
3/16/2016        17249.34        17379.18        17204.07        17325.76       118710000
3/15/2016        17217.15        17251.70        17120.35        17251.53        92830000
3/14/2016        17207.49        17275.07        17161.16        17229.13        96350000
3/11/2016        17014.99        17220.09        17014.99        17213.31       123420000
3/10/2016        17006.05        17130.11        16821.86        16995.13       117570000
3/9/2016         16969.17        17048.50        16947.94        17000.36       116690000
3/8/2016         17050.67        17072.79        16921.51        16964.10       108380000
3/7/2016         16991.29        17099.25        16940.48        17073.95       100290000
3/4/2016         16945.00        17062.38        16898.84        17006.77       106910000
3/3/2016         16896.17        16944.31        16820.73        16943.90        91110000
3/2/2016         16851.17        16900.17        16766.32        16899.32       104470000
3/1/2016         16545.67        16865.56        16545.67        16865.08       105050000
2/29/2016        16634.15        16726.12        16510.40        16516.50       126220000
2/26/2016        16712.70        16795.98        16623.91        16639.97        98480000
2/25/2016        16504.38        16697.98        16458.42        16697.29        94120000
2/24/2016        16418.84        16507.39        16165.86        16484.99        93620000
2/23/2016        16610.39        16610.39        16403.53        16431.78        98170000
2/22/2016        16417.13        16664.24        16417.13        16620.66       102240000
2/19/2016        16410.96        16410.96        16278.00        16391.99       134340000
2/18/2016        16483.76        16511.84        16390.43        16413.43       104950000
