YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1929   -5.80   -7.84    4.50    8.34   16.46   19.07   20.56   20.62   16.94   11.70    7.57    4.04   -4.23    9.77   20.08   12.07    9.42
1930    1.14    1.27    7.62   11.22   13.95   19.70   19.22   18.67   16.67    9.87    8.13    1.28    2.15   10.93   19.20   11.56   10.96
1931    0.85    0.63    3.21    8.46   16.20   20.26   20.81   19.69   12.79   10.22    5.28   -1.29    0.92    9.29   20.25    9.43    9.97
1932   -1.08   -4.38    0.64    8.97   15.09   16.96   20.43   22.15   19.25   11.39    6.09    1.05   -2.25    8.23   19.85   12.24    9.52
1933   -1.51    1.35    6.61    9.17   13.37   15.86   20.42   20.25   16.02   11.91    4.40   -4.18    0.30    9.72   18.84   10.78    9.91
1934   -0.85    1.05    8.15   12.81   16.49   17.84   20.80   19.66   18.28   10.48    5.75    5.47   -1.33   12.48   19.43   11.50   10.52
1935   -3.10    1.66    4.96    9.30   13.13   20.71   20.75   19.25   15.81   12.91    5.68    1.01    1.34    9.13   20.24   11.47   10.54
1936    5.29    4.35    8.61   10.53   15.64   18.51   21.32   19.29   16.05    6.33    5.09    0.30    3.55   11.59   19.71    9.16   11.00
1937   -1.61    3.48    7.17    9.19   16.34   19.56   20.70   19.68   16.12   11.44    4.20   -0.03    0.72   10.90   19.98   10.59   10.55
1938   -1.78    0.95    8.13    7.54   13.38   20.49   20.96   19.55   15.98   11.83    6.40   -0.81   -0.29    9.68   20.33   11.40   10.28
1939    2.01    3.36    3.49   12.78   13.29   18.63   20.44   20.23   15.76   10.18    6.34   -1.08    1.52    9.85   19.77   10.76   10.48
1940   -6.44   -2.87    4.32   10.78   14.59   17.94   19.33   18.07   16.38   10.57    7.47   -5.93   -3.46    9.90   18.45   11.47    9.09
1941   -2.41    1.03    6.26    9.46   12.26   18.22   20.30   18.55   14.33    9.78    2.62   -0.33   -2.44    9.33   19.02    8.91    8.71
1942   -7.37   -2.55    4.55    9.19   15.68   18.56   19.78   19.37   19.47   12.78    5.00    3.22   -3.42    9.81   19.24   12.42    9.51
1943   -4.15    3.84    6.82   11.56   14.61   17.30   20.34   21.39   18.16   12.99    2.96    2.15    0.97   11.00   19.68   11.37   10.75
1944    0.66    0.73    3.45   11.42   14.03   16.91   19.98   22.01   15.69   10.91    4.35    0.77    1.18    9.63   19.63   10.32   10.19
1945   -4.80    2.07    7.63   11.16   17.32   20.07   21.70   19.68   16.39   10.94    4.53    2.40   -0.65   12.04   20.48   10.62   10.62
1946   -2.22    4.32    7.15   12.30   16.76   19.10   21.22   21.59   18.29    7.86    4.55   -0.91    1.50   12.07   20.64   10.23   11.11
1947   -6.28   -1.85    5.72   12.61   16.14   20.89   21.69   20.50   18.30    8.60    5.72    1.87   -3.01   11.49   21.03   10.87   10.09
1948    4.34    0.33    6.02   10.91   15.93   17.18   17.62   19.49   16.78   11.80    4.86   -0.47    2.18   10.95   18.10   11.15   10.59
1949    1.99    2.25    4.06   12.43   14.51   16.79   19.99   19.08   17.74   12.43    6.40    2.44    1.26   10.33   18.62   12.19   10.60
1950   -2.33    3.67    7.55    9.82   16.49   20.43   23.01   20.93   16.76   10.21    5.69    0.92    1.26   11.29   21.46   10.89   11.22
